target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection_mode
Q1,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859474,0.6185058715032128,hist_gb_residual_composite,composite
Q2,hist_gb|tiny|uniform|top160,hist_gb,tiny,uniform,160,0.3,0.7011578840692231,0.6248752672440445,0.008278027445300595,-0.013209102056356836,0.6508126419804294,0.7344447698458935,0.6265894144002121,0.8084383139281144,0.7084855894939928,0.6248752672440445,hist_gb_residual_composite,composite
Q3,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,hist_gb_residual_composite,composite
S1,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.492352153213852,0.4495444660169762,0.0,0.0,0.4550615390427477,0.470478165353136,0.4862291390835621,0.5290528261383755,0.5258050908732016,0.4495444660169762,hist_gb_residual_composite,composite
S2,hist_gb|mid|recent_class|top80,hist_gb,mid,recent_class,80,0.45,0.5605753959104496,0.5940894615089789,0.0004549902207413581,-0.0287258613864545,0.5996583518496139,0.5680681484544647,0.5309477470450992,0.5240147453738786,0.5864319478490062,0.5940894615089789,hist_gb_residual_composite,composite
S3,hist_gb|mid|recent_resid|top80,hist_gb,mid,recent_resid,80,0.2,0.542079835278806,0.5976885335767487,0.0005284607571178768,-0.002990491413824903,0.6061870835988465,0.5146135720605283,0.5289603446660456,0.5610730377239541,0.5135636537513273,0.5976885335767487,hist_gb_residual_composite,composite
S4,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.630799037604625,0.5886543846409902,0.0,0.0,0.5941676182721094,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,hist_gb_residual_composite,composite
Q1,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859474,0.6185058715032128,hist_gb_residual_last,last
Q2,hist_gb|tiny|uniform|top160,hist_gb,tiny,uniform,160,1.0,0.7593113446319409,0.6141515212187463,0.06643148800801846,-0.023932848081655078,0.6936322350418767,0.8109844849716303,0.6425749989590783,0.8935970505236089,0.8278333445837515,0.6141515212187463,hist_gb_residual_last,last
Q3,hist_gb|mid|recent_resid|top160,hist_gb,mid,recent_resid,160,0.03,0.6628773717821153,0.6346794363434564,0.0001968256539145452,-1.2571897297086743e-05,0.644410380740947,0.6935029725294571,0.6740832271647018,0.6960478147975803,0.6139615543767547,0.6346794363434564,hist_gb_residual_last,last
S1,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.492352153213852,0.4495444660169762,0.0,0.0,0.4550615390427477,0.470478165353136,0.4862291390835621,0.5290528261383755,0.5258050908732016,0.4495444660169762,hist_gb_residual_last,last
S2,hist_gb|tiny|recent_class|top160,hist_gb,tiny,recent_class,160,1.0,0.5988866766539167,0.5877678116543469,0.03876627096420848,-0.035047511241086515,0.6288734286849161,0.5834499282858704,0.5591505327983946,0.606139046601547,0.6581105794603874,0.5877678116543469,hist_gb_residual_last,last
S3,hist_gb|mid|recent_resid|top80,hist_gb,mid,recent_resid,80,0.3,0.543797519866352,0.5975579946493992,0.0022461453446639412,-0.003121030341174391,0.6074498460344989,0.5219918279004084,0.5290799243830774,0.5594367988050721,0.5159397728616953,0.5975579946493992,hist_gb_residual_last,last
S4,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.630799037604625,0.5886543846409902,0.0,0.0,0.5941676182721094,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,hist_gb_residual_last,last
Q1,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859474,0.6185058715032128,hist_gb_residual_full,full
Q2,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.6928798566239225,0.6380843693004014,0.0,0.0,0.6562648363636676,0.711513567173958,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004014,hist_gb_residual_full,full
Q3,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,hist_gb_residual_full,full
S1,hist_gb|tiny|recent_class|top80,hist_gb,tiny,recent_class,80,0.08,0.49203917136212494,0.4543649313095087,-0.0003129818517270677,0.00482046529253255,0.4594888247504883,0.4692404665553257,0.4889557680338777,0.5261670816070798,0.5211108302899575,0.4543649313095087,hist_gb_residual_full,full
S2,hist_gb|mid|recent_class|top80,hist_gb,mid,recent_class,80,0.2,0.5579674170246739,0.6058576236522554,-0.0021529886650343277,-0.016957699243178026,0.6138772634839508,0.5675366765454583,0.5265603400877608,0.5216049011964915,0.5698157486325885,0.6058576236522554,hist_gb_residual_full,full
S3,hist_gb|mid|uniform|top80,hist_gb,mid,uniform,80,0.3,0.5382062759085885,0.605004892388196,-0.0033450986130996174,0.004325867397622418,0.614208447904836,0.4982543099949102,0.5229019788433473,0.566289450943676,0.5056670010831167,0.605004892388196,hist_gb_residual_full,full
S4,hist_gb|smooth|uniform|top80,hist_gb,smooth,uniform,80,0.0,0.630799037604625,0.5886543846409902,0.0,0.0,0.5941676182721094,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,hist_gb_residual_full,full
