target,config_key,model,param_profile,weight_profile,top_k,shrink_mode,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,raw_active_full_logloss,raw_active_last_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,active_fold0_raw_logloss,candidate,selection_mode
Q1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6229090295817957,0.6702266253422237,,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,0.6702266253422237,target_weighted_single_composite,composite
Q2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6916054428870165,0.6380843693004012,-0.001274413736905955,-1.1102230246251565e-16,0.6544467896573409,0.695503949874328,,0.7054768705254557,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004012,0.695503949874328,target_weighted_single_composite,composite
Q3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6615468262875102,0.6346920082407534,-0.0011337198406905502,0.0,0.6432526331559468,0.6940348019772421,,0.6891358695768905,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,0.6940348019772421,target_weighted_single_composite,composite
S1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.492352153213852,0.4495444660169763,0.0,1.1102230246251565e-16,0.4545098317401707,0.628619714722672,,0.470478165353136,0.486229139083562,0.5290528261383755,0.5258050908732016,0.4495444660169763,0.628619714722672,target_weighted_single_composite,composite
S2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5601204056897082,0.6228153228954334,0.0,0.0,0.632413449757989,0.7305999641197917,,0.568585442652781,0.5261479218628835,0.5251425064575487,0.5605193582907247,0.6228153228954334,0.7305999641197917,target_weighted_single_composite,composite
S3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5415513745216881,0.6006790249905735,0.0,-1.1102230246251565e-16,0.6080569767430271,0.6246664167647145,,0.5039339129482665,0.5311459193317364,0.5670960119251663,0.5112961755150871,0.6006790249905735,0.6246664167647145,target_weighted_single_composite,composite
S4,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.630430922919032,0.5886543846409902,-0.00036811468559294624,0.0,0.5936162949089975,0.6893247358067809,,0.6550701589288589,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,0.6893247358067809,target_weighted_single_composite,composite
Q1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6229090295817957,0.6702266253422237,,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,0.6702266253422237,target_weighted_single_last,last
Q2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6916054428870165,0.6380843693004012,-0.001274413736905955,-1.1102230246251565e-16,0.6544467896573409,0.695503949874328,,0.7054768705254557,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004012,0.695503949874328,target_weighted_single_last,last
Q3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6615468262875102,0.6346920082407534,-0.0011337198406905502,0.0,0.6432526331559468,0.6940348019772421,,0.6891358695768905,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,0.6940348019772421,target_weighted_single_last,last
S1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.492352153213852,0.4495444660169763,0.0,1.1102230246251565e-16,0.4545098317401707,0.628619714722672,,0.470478165353136,0.486229139083562,0.5290528261383755,0.5258050908732016,0.4495444660169763,0.628619714722672,target_weighted_single_last,last
S2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5601204056897082,0.6228153228954334,0.0,0.0,0.632413449757989,0.7305999641197917,,0.568585442652781,0.5261479218628835,0.5251425064575487,0.5605193582907247,0.6228153228954334,0.7305999641197917,target_weighted_single_last,last
S3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5415513745216881,0.6006790249905735,0.0,-1.1102230246251565e-16,0.6080569767430271,0.6246664167647145,,0.5039339129482665,0.5311459193317364,0.5670960119251663,0.5112961755150871,0.6006790249905735,0.6246664167647145,target_weighted_single_last,last
S4,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.630430922919032,0.5886543846409902,-0.00036811468559294624,0.0,0.5936162949089975,0.6893247358067809,,0.6550701589288589,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,0.6893247358067809,target_weighted_single_last,last
Q1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6229090295817957,0.6702266253422237,,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,0.6702266253422237,target_weighted_single_full,full
Q2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6916054428870165,0.6380843693004012,-0.001274413736905955,-1.1102230246251565e-16,0.6544467896573409,0.695503949874328,,0.7054768705254557,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004012,0.695503949874328,target_weighted_single_full,full
Q3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6615468262875102,0.6346920082407534,-0.0011337198406905502,0.0,0.6432526331559468,0.6940348019772421,,0.6891358695768905,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,0.6940348019772421,target_weighted_single_full,full
S1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.492352153213852,0.4495444660169763,0.0,1.1102230246251565e-16,0.4545098317401707,0.628619714722672,,0.470478165353136,0.486229139083562,0.5290528261383755,0.5258050908732016,0.4495444660169763,0.628619714722672,target_weighted_single_full,full
S2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5601204056897082,0.6228153228954334,0.0,0.0,0.632413449757989,0.7305999641197917,,0.568585442652781,0.5261479218628835,0.5251425064575487,0.5605193582907247,0.6228153228954334,0.7305999641197917,target_weighted_single_full,full
S3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5415513745216881,0.6006790249905735,0.0,-1.1102230246251565e-16,0.6080569767430271,0.6246664167647145,,0.5039339129482665,0.5311459193317364,0.5670960119251663,0.5112961755150871,0.6006790249905735,0.6246664167647145,target_weighted_single_full,full
S4,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.630430922919032,0.5886543846409902,-0.00036811468559294624,0.0,0.5936162949089975,0.6893247358067809,,0.6550701589288589,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,0.6893247358067809,target_weighted_single_full,full
